"v:0","v:1","v:2","Points:0","Points:1","Points:2"
0.1474,-0.16806,0.26588,0.052892,0.011922,0.00082644
0.067562,0.093945,0.0092392,0.045495,0.016876,0.0013696
0.045021,0.00075582,0.11772,0.045523,0.018551,0.00055401
-0.19255,-0.22954,-0.26537,0.042364,0.019315,0.00081534
0.13419,-1.0645,-0.049654,0.037255,0.027828,0.00071543
0.15993,-1.0315,0.016581,0.040388,0.030161,0.0014339
0.22533,-0.67686,-0.10421,0.02516,0.031198,0.00054887
0.14974,-0.83883,-0.0065496,0.026498,0.033031,0.00060294
0.2099,-0.82207,-0.02571,0.031323,0.034151,0.0012527
0.1395,-0.98056,0.027724,0.038354,0.03376,0.001321
0.21813,-0.071849,0.032047,0.015779,0.038068,0.00086318
0.31646,-0.28131,-0.012088,0.018437,0.037428,0.00057007
0.21311,-0.4875,0.022814,0.023887,0.037754,0.0014936
0.12627,-0.46258,0.034615,0.018106,0.039608,0.00055882
0.15605,-0.76321,-0.006942,0.025324,0.039215,0.0011982
0.21452,-0.76951,-0.026305,0.029884,0.039761,0.0011361
0.08915,-0.40576,-0.0014566,0.01577,0.040661,0.0007698
0.19184,-0.45544,-0.054163,0.020652,0.04132,0.00093637
0.068208,-0.39754,0.0067536,0.014534,0.043533,0.00056947
0.17858,-0.40236,0.063162,0.020932,0.042839,0.00085333
0.068697,-0.3938,0.027261,0.014316,0.044744,0.0013874
0.13601,-0.32364,-0.028472,0.01694,0.045365,0.00081758
0.12403,-0.37972,-0.017209,0.015456,0.046213,0.00065034
0.27447,-0.33287,-0.023871,0.021715,0.046133,0.0012097
0.16768,-0.67197,0.02036,0.025771,0.04578,0.00084432
0.15153,-0.26092,0.0021708,0.016101,0.048589,0.0016626
0.21363,-0.38362,-0.03414,0.01751,0.047664,0.00073322
0.22581,-0.8462,0.038869,0.044879,0.048058,0.00090631
0.14774,-0.23273,-0.042805,0.015026,0.049998,0.0012777
0.17239,-0.61515,0.045779,0.026463,0.049266,0.001194
0.03861,-0.069645,-0.042085,0.012816,0.051191,0.00059648
0.15796,-0.24666,0.0051007,0.015464,0.05227,0.00076124
0.15249,-0.60756,0.0039287,0.024013,0.052081,0.0010938
0.14713,-0.79152,0.036236,0.038736,0.051294,0.0011197
0.10886,-0.058078,0.0055067,0.012445,0.05324,0.00069309
0.14097,-0.21434,-0.013586,0.013699,0.05334,0.0014531
0.10831,-0.58326,-0.015102,0.020423,0.053397,0.00072874
-0.064256,0.043101,0.030437,0.050897,0.013348,0.0021126
0.25537,-0.10461,0.056803,0.044403,0.016257,0.0027438
0.64669,-0.14134,-0.25685,0.046431,0.015803,0.0027579
0.17968,-0.15324,0.49887,0.043991,0.019611,0.0025159
0.22331,-1.1121,-0.033176,0.04764,0.023449,0.0031233
-0.54911,-0.49878,0.23098,0.051937,0.022238,0.0029867
0.37374,-0.23045,0.055419,0.023887,0.031658,0.0025667
0.15737,-1.0365,0.0089627,0.039943,0.031883,0.0033196
0.16419,-0.81575,0.0022165,0.027063,0.034,0.0024764
0.05209,-0.26618,-0.09372,0.017181,0.036666,0.001903
0.2044,-0.19007,0.023852,0.018738,0.036008,0.0018018
0.30028,-0.272,-0.050826,0.018744,0.036909,0.0029027
0.14958,-0.55108,-0.11185,0.020554,0.035991,0.0017186
0.13387,-0.64093,-0.0035574,0.020583,0.035874,0.0029716
0.069042,-0.62849,0.041855,0.022882,0.036015,0.0025544
0.29132,-0.698,-0.045888,0.025285,0.036066,0.0016799
0.16694,-1.0018,-0.030661,0.039785,0.036136,0.0030101
0.18641,-0.78194,-0.01272,0.02885,0.038045,0.0023558
0.13663,-0.44404,-0.0076922,0.018413,0.040019,0.0030891
0.20367,-0.7764,-0.022445,0.028782,0.039495,0.002377
0.10953,-0.39647,-0.0080456,0.016303,0.041013,0.0025317
0.1,-0.38474,0.035519,0.015861,0.042321,0.0017784
0.16781,-0.39128,-0.015183,0.018079,0.043648,0.0026878
0.096023,-0.70108,0.034047,0.021708,0.043046,0.0024989
0.13109,-0.38912,0.0086492,0.017596,0.045151,0.0031679
0.20403,-0.3552,-0.022774,0.017688,0.047199,0.0020398
0.18458,-0.8535,0.049249,0.042046,0.046612,0.0021405
0.1184,-0.65037,0.016174,0.021533,0.047539,0.0024549
0.08405,-0.18213,0.026471,0.013322,0.049594,0.001988
0.21138,-0.1977,-0.019167,0.016597,0.050263,0.0025936
0.19301,-0.60438,-0.010728,0.027045,0.050575,0.0025393
0.1788,-0.87253,0.019697,0.039755,0.049026,0.0031687
0.084993,-0.13611,0.020994,0.012632,0.051375,0.0016934
0.078897,-0.15458,0.011797,0.013304,0.050703,0.0027445
0.18135,-0.2264,-0.045705,0.015616,0.051531,0.0019341
0.10952,-0.60038,0.028803,0.021237,0.051296,0.0016997
0.25006,-0.84598,-0.054111,0.045568,0.05159,0.0025886
0.086385,-0.13153,0.039,0.012462,0.052665,0.0020609
0.14237,-0.15951,0.014233,0.013064,0.053555,0.00245
0.14448,-0.15505,0.021357,0.013826,0.052564,0.0027088
0.16781,-0.57367,-0.0099302,0.024113,0.053791,0.002243
0.12123,-0.31438,0.17001,0.050332,0.012366,0.0046984
0.44942,-0.22094,-0.089789,0.047015,0.014555,0.0047429
0.23314,-0.23221,-0.059767,0.049813,0.013753,0.0049937
0.074966,-0.094965,-0.35896,0.045496,0.015324,0.0048416
0.34411,-0.12087,0.02941,0.043334,0.01823,0.0033596
0.16821,-1.1255,-0.024741,0.041967,0.020074,0.0038981
0.31999,-0.1176,0.10809,0.038623,0.020518,0.0047791
0.13623,-1.0887,-0.0053365,0.038415,0.023518,0.0035456
-0.067738,0.39555,0.018272,0.04408,0.025266,0.0038953
0.13085,-1.0619,-0.027609,0.037243,0.027815,0.0040189
0.19732,-1.0503,0.0020102,0.044176,0.030088,0.003676
-0.87608,-0.061806,-0.12745,0.046691,0.028802,0.0034537
0.22624,-1.0374,0.019193,0.04789,0.030197,0.004492
0.18938,-0.8625,-0.037222,0.029453,0.031845,0.0038128
0.1535,-0.82555,-0.010525,0.026843,0.032483,0.0041895
0.14875,-0.54656,-0.019465,0.020519,0.035189,0.0038746
0.15255,-0.8269,-0.032038,0.026002,0.033988,0.0049501
0.15757,-0.80755,0.0015389,0.026254,0.035209,0.0036231
0.1903,-0.8321,-0.012352,0.028795,0.034765,0.0034348
0.10708,-0.011928,0.014714,0.017157,0.037016,0.0048308
0.088398,-0.2869,0.099977,0.018055,0.036219,0.0039361
0.19539,-0.81313,-0.011815,0.030231,0.03573,0.0033504
0.083343,-0.48683,-0.02894,0.016117,0.037599,0.0049109
0.10717,-0.47221,0.023985,0.016885,0.037319,0.0033554
0.10633,-0.48722,-0.0092087,0.017709,0.038453,0.0037014
0.12672,-0.48231,-0.028871,0.018818,0.037198,0.0043897
0.13499,-0.77125,-0.021601,0.024423,0.038137,0.0037653
0.090827,-0.42128,0.050626,0.016045,0.041649,0.0043501
0.18116,-0.9483,-0.002144,0.041124,0.041152,0.0040871
0.12267,-0.39877,-0.042805,0.017037,0.042934,0.0040467
0.15395,-0.72984,-0.015713,0.025145,0.042228,0.0042226
0.083905,-0.3037,0.041891,0.014747,0.044565,0.0042442
0.15732,-0.40719,0.015525,0.017536,0.044192,0.0043338
0.13171,-0.33779,0.00096577,0.016751,0.046363,0.0048042
0.17347,-0.35053,0.014712,0.019028,0.04572,0.0040478
0.067942,-0.23451,-0.053809,0.014164,0.047466,0.004135
0.11549,-0.23814,0.0095867,0.015325,0.048277,0.0041136
0.17355,-0.28596,-0.00041213,0.017045,0.048327,0.0034016
0.16705,-0.64529,-0.028974,0.02486,0.048899,0.0039463
0.02108,-0.18774,-0.035812,0.012664,0.049622,0.003843
0.15473,-0.17551,-0.02745,0.015213,0.050214,0.0033733
0.13809,-0.24641,0.010782,0.01618,0.05018,0.0042406
0.13752,-0.84015,0.0047629,0.036431,0.050162,0.0044126
0.054841,-0.071759,-0.0098112,0.012556,0.052042,0.004485
0.12524,-0.1791,0.043693,0.014383,0.051245,0.003561
0.15416,-0.20734,0.018076,0.01532,0.051473,0.004385
0.16239,-0.60557,0.0036165,0.024193,0.051483,0.0039503
0.19951,-0.62856,0.024638,0.027103,0.05066,0.0046063
0.063133,0.047803,0.0037474,0.011993,0.052417,0.0033921
0.098064,0.045595,-0.0033435,0.01169,0.053548,0.0040066
0.10527,-0.10803,0.044445,0.012724,0.053065,0.004906
0.13306,-0.049115,0.0043787,0.013084,0.052875,0.0037687
0.16979,-0.07349,0.010639,0.013877,0.053631,0.0036416
0.15448,-0.11801,0.0073994,0.014251,0.053126,0.0047359
0.1842,-0.59179,0.014788,0.025284,0.053247,0.0044374
0.23685,-0.594,0.012187,0.030415,0.052433,0.0039765
0.1755,-0.81701,-0.020786,0.038966,0.053679,0.0039636
0.18764,-1.1607,-0.018429,0.044536,0.016387,0.0062176
0.034285,-0.52448,0.087576,0.050194,0.015687,0.005153
-0.30333,-0.21749,-0.25918,0.049007,0.018697,0.0054028
0.15363,-0.84261,-0.0024174,0.026496,0.032187,0.0062055
0.27205,-0.3481,-0.06119,0.02161,0.033954,0.0066013
0.21145,-1.001,-0.00087593,0.045484,0.035393,0.0055037
0.18589,-0.21513,-0.097807,0.019007,0.036378,0.0064218
0.096192,-0.58029,-0.01492,0.019597,0.036715,0.0051967
0.16565,-0.29141,-0.010609,0.015224,0.038173,0.0058677
0.16148,-0.502,-0.037781,0.020251,0.038722,0.0054589
0.16309,-0.97701,-0.035968,0.040034,0.037841,0.0057407
0.18592,-0.97041,0.020858,0.042322,0.037938,0.0064596
0.11626,-0.48119,0.0043773,0.017685,0.038881,0.0060097
0.038156,-0.54851,-0.051965,0.019306,0.039804,0.0052077
0.18826,-0.66828,0.042427,0.020564,0.03993,0.0058336
0.19946,-0.95123,-0.012259,0.043329,0.04033,0.006121
0.12444,-0.4396,-0.033625,0.017519,0.040633,0.0062619
0.14311,-0.43221,-0.040482,0.018225,0.041441,0.0050025
