"v:0","v:1","v:2","Points:0","Points:1","Points:2"
-0.091091,0.010521,5.4411e-06,0.049234,0.013225,0.00054601
-0.090722,0.0083059,5.1887e-05,0.050308,0.013457,0.00054435
-0.093121,0.0081389,4.0372e-05,0.050375,0.01238,0.00066635
-0.091977,0.006071,3.8875e-05,0.051312,0.012918,0.00054468
-0.091441,0.0059045,0.00011495,0.051331,0.013196,0.0015968
-0.094145,0.0057404,0.00034707,0.051844,0.011947,0.00056456
-0.091772,0.0035855,-0.00025429,0.05236,0.013089,0.000788
-0.093875,0.001742,-0.0005492,0.052954,0.012177,0.00083024
-0.08758,0.016667,0.00016348,0.046472,0.014881,0.00054574
-0.088506,0.014635,0.00012239,0.047448,0.014409,0.00061026
-0.090447,0.013399,0.00022963,0.047904,0.013622,0.0015786
-0.087359,0.014181,-8.5956e-05,0.047726,0.014756,0.0016046
-0.090117,0.012927,0.00010235,0.048241,0.013671,0.0005447
-0.089008,0.011316,0.00013225,0.048742,0.014317,0.0015874
-0.087066,0.012541,0.0013562,0.048414,0.015159,0.00055842
-0.088772,0.011058,0.00041435,0.049112,0.014323,0.00056143
-0.087675,0.0098628,0.00021617,0.049617,0.014963,0.0015409
-0.09062,0.0096562,3.8355e-05,0.049738,0.013604,0.0014583
-0.088277,0.0086348,8.8786e-05,0.050179,0.014536,0.00054556
-0.087865,0.0073942,0.00041571,0.050849,0.014844,0.0013455
-0.089466,0.0062065,1.5709e-06,0.051244,0.013999,0.00065711
-0.087081,0.005194,2.0876e-05,0.05164,0.015007,0.00054558
-0.089755,0.0043882,-0.00017183,0.052003,0.014053,0.0015841
-0.08705,0.0047203,-0.00026185,0.051864,0.015132,0.0016151
-0.089133,0.0038017,7.0324e-05,0.052316,0.014151,0.00054523
-0.0868,0.0027579,-4.1243e-05,0.052718,0.015164,0.00054551
-0.083072,0.022457,-9.0971e-05,0.043945,0.016827,0.00054759
-0.085041,0.021008,-3.2416e-05,0.044602,0.015963,0.00054507
-0.085229,0.020026,0.0027007,0.044505,0.01656,0.0015727
-0.08655,0.019002,6.9663e-05,0.045477,0.015319,0.00054521
-0.086008,0.019978,6.1719e-05,0.045007,0.015598,0.0014868
-0.083947,0.018416,-9.7558e-05,0.045596,0.016409,0.00054595
-0.084148,0.018376,-8.2496e-05,0.045741,0.016389,0.0016332
-0.085006,0.016635,0.000262,0.046481,0.015939,0.00097293
-0.084726,0.014263,-0.00035402,0.04767,0.015951,0.0014889
-0.08613,0.014886,-2.3481e-05,0.047376,0.015492,0.0005458
-0.08383,0.013946,-6.5779e-05,0.047768,0.016506,0.00054533
-0.080864,0.010847,0.0044881,0.048612,0.015397,0.0016513
-0.083909,0.011936,-3.0165e-05,0.048688,0.01656,0.001576
-0.084475,0.011673,-3.4079e-05,0.048822,0.016236,0.00054549
-0.086387,0.010102,1.78e-05,0.049503,0.015387,0.00054483
-0.084221,0.0090965,-3.5615e-05,0.049947,0.01638,0.00055472
-0.086094,0.0083854,-3.9329e-06,0.050348,0.015762,0.0016491
-0.083469,0.0083829,-0.00046898,0.050343,0.016842,0.0015067
-0.086157,0.0075758,0.00017928,0.050663,0.01556,0.00054572
-0.071015,0.00024613,-0.0030953,0.051184,0.016516,0.00054519
-0.085292,0.0044167,-7.2483e-06,0.052042,0.015948,0.00091639
-0.080354,0.027005,-7.4615e-05,0.041838,0.017968,0.0014829
-0.082303,0.024453,-1.1429e-05,0.042926,0.017202,0.00054541
-0.080194,0.023973,-1.9966e-05,0.043032,0.018255,0.00079959
-0.081571,0.022617,-0.00023377,0.043792,0.017376,0.0014766
-0.0796,0.022594,0.00010917,0.043865,0.018518,0.0014482
-0.080588,0.022448,2.6973e-05,0.044041,0.017911,0.00056075
-0.082081,0.020255,-0.00012289,0.044932,0.017284,0.00054532
-0.080508,0.019935,-0.00029013,0.045112,0.018108,0.0012343
-0.081319,0.017951,-0.00039148,0.045957,0.017637,0.00065175
-0.07953,0.017698,-3.8006e-05,0.046172,0.018425,0.001585
-0.083032,0.016068,-9.1797e-06,0.046754,0.016902,0.00054536
-0.082246,0.017004,-0.00028542,0.046436,0.017222,0.001538
-0.080764,0.015079,-0.00032163,0.047198,0.017896,0.0005471
-0.080336,0.014745,-0.00027175,0.047234,0.018181,0.0015976
-0.082389,0.014364,-0.0002745,0.047513,0.01715,0.0013855
-0.081638,0.012984,-0.0001572,0.048212,0.0175,0.00054538
-0.080748,0.012374,-3.4659e-05,0.048302,0.01798,0.0015185
-0.079237,0.01198,-0.00011843,0.048642,0.0185,0.00054586
-0.082278,0.010601,-6.1813e-05,0.049267,0.01723,0.00054563
-0.082023,0.010535,-0.0003457,0.049443,0.017575,0.001564
-0.079968,0.0096058,-0.00022464,0.049697,0.018231,0.00054517
-0.081975,0.007987,6.5585e-05,0.050429,0.017356,0.00054514
-0.080384,0.007945,0.00010166,0.050487,0.017976,0.0014385
-0.079294,0.0072284,-0.00015589,0.05074,0.018546,0.00054516
-0.082228,0.0057303,-7.6898e-05,0.051333,0.017297,0.0015386
-0.081086,0.0056523,-6.653e-05,0.051454,0.017723,0.00054485
-0.082818,0.0037609,-0.00030485,0.052249,0.016957,0.00056337
-0.081101,0.0036049,-5.9706e-05,0.052294,0.017804,0.0015913
-0.080481,0.0032479,-0.0001011,0.052502,0.018016,0.00054487
-0.076291,0.032231,7.4629e-06,0.039464,0.020101,0.0015248
-0.078042,0.029903,0.00052625,0.040522,0.019132,0.0005795
-0.07565,0.029792,0.00063622,0.04053,0.020217,0.00067819
-0.079275,0.025763,3.6588e-05,0.04216,0.018855,0.00054477
-0.078887,0.027514,-5.3481e-05,0.041432,0.018968,0.0013453
-0.077353,0.027252,0.00030287,0.041483,0.019707,0.00054594
-0.077614,0.026079,-0.00044371,0.04232,0.019593,0.0014314
