"v:0","v:1","v:2","Points:0","Points:1","Points:2"
-0.091468,0.010079,-1.1758e-06,0.049478,0.013079,0.00054469
-0.090818,0.010014,2.8084e-06,0.04951,0.013355,0.001597
-0.093723,0.0090235,3.5552e-05,0.049967,0.012086,0.00056515
-0.091179,0.0076549,1.1821e-05,0.050533,0.013203,0.00078747
-0.093228,0.0064123,6.0694e-05,0.051086,0.012265,0.00083012
-0.091681,0.004828,8.9535e-06,0.051797,0.012955,0.0012844
-0.093962,0.0044623,7.1418e-05,0.051965,0.011927,0.0016003
-0.09313,0.0037413,3.7372e-05,0.052303,0.012312,0.000545
-0.090968,0.0026738,3.7649e-05,0.052785,0.013288,0.00054513
-0.091178,0.0024233,3.9043e-05,0.052884,0.013174,0.0016231
-0.090085,0.017685,0.00090839,0.045946,0.015069,0.0016159
-0.088107,0.015709,4.9473e-06,0.046973,0.01459,0.0015869
-0.088109,0.014889,1.076e-05,0.047344,0.014581,0.00056234
-0.089816,0.013577,-3.0792e-05,0.047937,0.013836,0.001458
-0.090169,0.012299,-2.0512e-06,0.048499,0.013662,0.00054435
-0.087743,0.012482,-4.123e-07,0.04842,0.014746,0.00054548
-0.087125,0.01096,1.1676e-05,0.049102,0.015024,0.0013464
-0.089038,0.01013,6.6251e-06,0.049459,0.014162,0.00065708
-0.086837,0.0091507,-5.7091e-06,0.049899,0.015151,0.00054576
-0.08899,0.00843,2.5497e-05,0.050219,0.014181,0.0015837
-0.088798,0.0076981,1.3426e-05,0.050537,0.014265,0.0005452
-0.088469,0.006044,1.4639e-05,0.051266,0.0144,0.0013426
-0.090081,0.0055624,-4.1315e-07,0.051478,0.013689,0.00054525
-0.087782,0.0045782,-5.0373e-06,0.051935,0.014721,0.00054561
-0.088755,0.0025119,7.5914e-05,0.052852,0.014294,0.0009523
-0.083129,0.022548,3.5259e-05,0.043924,0.016822,0.00054587
-0.083145,0.022246,2.4388e-05,0.044068,0.016796,0.001633
-0.084237,0.020668,3.4537e-05,0.044787,0.016313,0.00097321
-0.08535,0.018688,1.5131e-05,0.045661,0.015826,0.00054561
-0.084357,0.017903,-1.0951e-05,0.045993,0.016269,0.0014843
-0.083125,0.017698,1.6901e-05,0.046099,0.016822,0.00054535
-0.086745,0.013697,-4.2014e-06,0.047876,0.015198,0.0015412
-0.086335,0.016183,0.00172,0.046682,0.015446,0.0005815
-0.083095,0.015628,-3.3426e-06,0.047021,0.016834,0.0015762
-0.083837,0.015356,6.8582e-06,0.047139,0.016504,0.00054552
-0.085793,0.013907,5.4952e-06,0.047782,0.015626,0.00054492
-0.083621,0.012818,-4.2246e-06,0.048269,0.016599,0.00055451
-0.085037,0.011986,-1.6015e-05,0.048642,0.015964,0.0016495
-0.085518,0.011323,5.5759e-06,0.048947,0.015746,0.00054581
-0.083376,0.01009,-2.4724e-05,0.049515,0.016676,0.00054593
-0.086582,0.0086407,5.1159e-06,0.050129,0.015266,0.0016149
-0.084789,0.0081582,-1.587e-05,0.050344,0.016074,0.00091616
-0.086601,0.006727,3.2096e-06,0.050983,0.015259,0.0005454
-0.086163,0.0055398,8.4778e-06,0.051502,0.015452,0.0014832
-0.085327,0.004639,2.0426e-05,0.051916,0.01582,0.00054543
-0.084358,0.0039126,4.0746e-05,0.05223,0.016259,0.0014943
-0.083708,0.0027994,4.8016e-05,0.052732,0.016542,0.00056946
-0.086355,0.0024817,5.9181e-05,0.052874,0.015373,0.0008076
-0.080767,0.026454,-1.2258e-05,0.042167,0.01787,0.0014763
-0.079566,0.025848,7.9011e-06,0.042439,0.018393,0.00056032
-0.08106,0.023928,3.1e-05,0.0433,0.017726,0.00054514
-0.079253,0.023446,7.1443e-06,0.043517,0.01854,0.0012343
-0.080364,0.021654,5.8048e-05,0.04434,0.018032,0.00065157
-0.081361,0.020602,3.9753e-05,0.044801,0.017597,0.0015379
-0.08212,0.01994,2.7198e-05,0.045103,0.017263,0.00054552
-0.079947,0.018853,2.5136e-05,0.045591,0.018236,0.0005466
-0.079284,0.018751,3.468e-05,0.045639,0.018519,0.0015972
-0.081646,0.018213,1.8637e-05,0.045872,0.017476,0.0013854
-0.080956,0.01661,2.2734e-05,0.046586,0.017795,0.00054523
-0.079902,0.016437,-9.7462e-06,0.046697,0.018268,0.0015193
-0.081656,0.014256,9.7678e-06,0.047628,0.017478,0.00054556
-0.080866,0.013854,1.7449e-07,0.047819,0.017814,0.0015641
-0.079457,0.013203,1.2058e-05,0.048103,0.018458,0.00054497
-0.082633,0.011879,-3.6368e-05,0.048687,0.017042,0.001506
-0.081499,0.011643,-9.6247e-06,0.048795,0.017551,0.00054535
-0.0801,0.011461,-3.1242e-05,0.048882,0.018168,0.0014387
-0.081713,0.009605,-4.1411e-05,0.049696,0.017451,0.0015386
-0.080781,0.0093003,-2.0898e-05,0.049835,0.017872,0.00054483
-0.082556,0.0075813,-2.0222e-05,0.050596,0.017072,0.00056219
-0.080663,0.0073621,-7.9077e-05,0.050679,0.017915,0.0015909
-0.080224,0.0069097,-3.9994e-05,0.050895,0.018118,0.00054465
-0.082963,0.0051849,1.4339e-05,0.051668,0.016881,0.00054578
-0.082911,0.0058763,-2.1102e-05,0.051362,0.016911,0.0015914
-0.080666,0.0049423,-5.1008e-06,0.051785,0.017915,0.0016197
-0.08062,0.0045052,-1.4259e-05,0.051967,0.017928,0.00054537
-0.082262,0.0026475,3.3216e-05,0.052791,0.017192,0.0014708
-0.079816,0.0022649,-2.6171e-05,0.052943,0.01827,0.0014723
-0.076964,0.031553,4.6407e-07,0.03988,0.019565,0.0013453
-0.077296,0.029958,-3.0484e-06,0.040602,0.01942,0.00054476
-0.075648,0.029506,1.9288e-05,0.040794,0.02015,0.0014317
-0.078695,0.028075,-2.8345e-05,0.041446,0.018781,0.00079923
-0.076374,0.027432,-1.6003e-05,0.04173,0.019817,0.00098326
-0.07819,0.026177,-1.4813e-05,0.04229,0.019007,0.0014481
-0.07722,0.025258,-8.7496e-07,0.042711,0.019447,0.00054524
-0.076973,0.024092,-6.0399e-06,0.043228,0.019558,0.0014972
-0.077493,0.022832,1.3251e-06,0.043795,0.019336,0.00054509
-0.078677,0.021073,6.582e-06,0.04459,0.01881,0.0015856
-0.07581,0.02101,5.1632e-06,0.044616,0.020087,0.0005458
-0.078203,0.020519,1.3338e-05,0.044837,0.019022,0.00054562
-0.077027,0.019226,-1.7908e-05,0.045406,0.019553,0.0013471
-0.077771,0.017779,4.3872e-06,0.046063,0.019217,0.00054534
-0.082806,0.016328,0.0039889,0.046578,0.019351,0.0014978
-0.076345,0.015786,-1.7195e-05,0.046945,0.019856,0.00054571
-0.078792,0.015549,9.6099e-06,0.047061,0.018774,0.00054571
-0.078417,0.014082,3.6882e-05,0.047725,0.018895,0.001467
-0.076363,0.012764,6.8966e-06,0.048304,0.019807,0.001598
-0.07707,0.01255,-1.6394e-05,0.048396,0.019506,0.00055495
-0.078872,0.01083,-3.4338e-05,0.049158,0.018726,0.00054537
-0.077635,0.010649,-0.00013748,0.049274,0.019322,0.0014497
-0.076159,0.010279,-1.7279e-05,0.0494,0.019931,0.00054586
-0.078624,0.0085013,-3.2777e-05,0.050171,0.018834,0.00093178
-0.076448,0.0078157,-3.6367e-05,0.050481,0.019804,0.00054575
-0.078389,0.0062449,-0.00016913,0.05113,0.018906,0.0015983
-0.077957,0.0058975,-0.00016482,0.051328,0.019118,0.00054835
-0.07626,0.0049171,-0.00032985,0.051668,0.019853,0.001586
-0.075615,0.0053551,-6.5692e-05,0.051607,0.020171,0.00054568
-0.07835,0.0034897,-0.00012397,0.052394,0.018923,0.00066041
-0.075914,0.0028326,-0.0002238,0.052678,0.019968,0.00054577
-0.071751,0.037693,-5.1752e-06,0.037129,0.021899,0.00054564
-0.07206,0.037055,6.9536e-06,0.037447,0.021738,0.0016175
-0.072945,0.035591,-2.8329e-05,0.038072,0.021358,0.00060469
-0.074085,0.033439,6.9086e-06,0.039033,0.020852,0.00067944
-0.071824,0.032627,-1.3867e-05,0.039391,0.021881,0.00054556
-0.072724,0.032099,-6.6509e-05,0.039667,0.02148,0.0015205
-0.075332,0.031376,1.6011e-05,0.039963,0.020301,0.00054589
-0.073059,0.030565,5.2341e-05,0.040328,0.021327,0.00055554
-0.073218,0.029632,5.9731e-05,0.040738,0.02123,0.0015605
-0.074545,0.028658,1.7321e-05,0.041182,0.02065,0.00054511
-0.07229,0.027786,1.2022e-05,0.04157,0.021668,0.00054573
-0.073795,0.027126,1.4439e-05,0.041867,0.020971,0.0013286
-0.074847,0.025801,-1.1355e-05,0.042468,0.020509,0.00054576
-0.071695,0.025859,-2.6982e-05,0.042444,0.021902,0.0015044
-0.074658,0.024944,-2.5191e-05,0.042847,0.020576,0.0015941
-0.072604,0.024904,-6.4594e-05,0.042875,0.021519,0.00058002
-0.075164,0.023261,-1.2538e-05,0.043605,0.020366,0.00084221
-0.072635,0.023597,-4.4623e-05,0.043448,0.021481,0.001514
-0.072962,0.022465,-1.2426e-05,0.043957,0.021352,0.00054554
-0.074784,0.020913,-1.5445e-05,0.044662,0.020537,0.0015367
-0.075453,0.01852,-6.8258e-06,0.045718,0.020251,0.00054514
-0.072473,0.019835,-8.9119e-06,0.045129,0.021564,0.0015229
-0.073551,0.020071,-5.858e-06,0.045029,0.021095,0.00054544
-0.07479,0.018002,1.1414e-05,0.045924,0.020534,0.0015758
-0.075359,0.014911,-6.3831e-06,0.047325,0.02027,0.0014786
-0.073855,0.015946,-1.6478e-06,0.046857,0.020942,0.00054598
-0.073185,0.015975,1.6009e-05,0.04684,0.021239,0.0015944
-0.074981,0.01372,-2.8627e-05,0.047856,0.020453,0.00054541
-0.072628,0.013738,7.3592e-06,0.047811,0.021542,0.00054721
-0.074066,0.011512,-6.5904e-05,0.048858,0.020871,0.00064144
-0.07266,0.011076,4.2287e-05,0.049048,0.021613,0.0014164
-0.075277,0.010635,5.6286e-05,0.049315,0.020408,0.001529
-0.070633,0.010181,5.1563e-05,0.049724,0.021846,0.0005487
-0.073028,0.0086874,2.2151e-06,0.050052,0.02121,0.0015642
-0.07409,0.0087873,5.3035e-05,0.050114,0.020829,0.00054557
-0.07185,0.0075349,9.7715e-05,0.050829,0.021574,0.00089269
-0.074902,0.0068419,-0.00015585,0.050836,0.020499,0.0013067
-0.073225,0.0049575,-0.0001263,0.051808,0.021242,0.00054559
-0.074174,0.0030915,-0.00023357,0.052556,0.020819,0.0012147
-0.072658,0.0023271,0.00082247,0.052807,0.021675,0.0005742
-0.069556,0.041031,-1.7452e-05,0.035597,0.022871,0.001585
-0.070453,0.038722,-6.1439e-06,0.036669,0.02247,0.0014019
-0.068909,0.039106,5.8774e-05,0.036477,0.02317,0.00054586
-0.069443,0.036766,-3.3458e-05,0.037535,0.02291,0.00054581
-0.070679,0.034708,-4.2225e-05,0.038446,0.022365,0.00078997
-0.068141,0.035068,-8.4401e-05,0.038414,0.023554,0.000546
-0.070343,0.032734,-5.1553e-07,0.03939,0.022533,0.0015313
-0.069249,0.032881,-7.5934e-06,0.03935,0.022995,0.00054569
-0.070792,0.030608,8.9551e-05,0.040298,0.022345,0.00094196
-0.067986,0.031899,0.00011777,0.039757,0.023553,0.0014164
-0.068491,0.030425,5.3839e-05,0.040383,0.023357,0.00054584
-0.071152,0.028377,1.9796e-05,0.041291,0.022165,0.0014866
-0.069963,0.028446,1.9327e-05,0.041262,0.022714,0.00054565
-0.068041,0.028443,4.8576e-05,0.041259,0.023615,0.0011581
-0.069445,0.02671,-6.5934e-06,0.042053,0.022944,0.0014833
-0.07054,0.026111,-1.9306e-05,0.042322,0.022457,0.0005458
-0.068903,0.022398,-0.0027784,0.042635,0.023492,0.00074301
-0.069745,0.024302,-3.9561e-05,0.043133,0.022799,0.0014503
-0.070723,0.02336,-3.3931e-05,0.043559,0.022366,0.00054589
-0.06832,0.023031,1.6732e-06,0.043706,0.023446,0.00054555
-0.071034,0.021785,-2.1189e-05,0.044255,0.022205,0.0016224
-0.068738,0.021379,-1.8094e-05,0.044432,0.02324,0.0013307
-0.071389,0.018383,5.8371e-06,0.045773,0.022036,0.00078088
-0.071205,0.020775,7.3993e-06,0.044712,0.022137,0.00055268
-0.069158,0.01948,-8.7118e-06,0.045277,0.023069,0.00054583
-0.070121,0.019294,-0.0001099,0.045366,0.022621,0.0016416
-0.072217,0.013793,-0.00035302,0.047993,0.02194,0.0015464
-0.071396,0.015947,3.4819e-05,0.046836,0.022031,0.00054541
-0.069382,0.016879,0.0026528,0.046365,0.023012,0.00059049
-0.070538,0.01561,1.2162e-05,0.047002,0.022394,0.0015588
-0.069423,0.013585,-0.0015811,0.047718,0.022636,0.00075424
-0.074261,0.011775,-0.0010119,0.047607,0.023347,0.0015722
-0.070052,0.011731,1.3781e-05,0.048692,0.022196,0.00054567
-0.06964,0.01179,0.00014222,0.048663,0.022794,0.0014559
-0.065393,0.011192,0.0001583,0.048755,0.023387,0.00054584
-0.071614,0.0081018,-2.232e-05,0.050085,0.022882,0.00054577
-0.071227,0.0083034,3.402e-05,0.050212,0.022281,0.0014458
-0.069811,0.0068774,-0.0017205,0.051735,0.021976,0.0013475
-0.066375,0.045099,4.3215e-05,0.033808,0.024319,0.0005459
-0.067255,0.041071,2.8418e-05,0.035575,0.023847,0.0007849
-0.067349,0.038994,0.00013096,0.036479,0.023854,0.0013943
-0.067158,0.037402,-1.2055e-05,0.037231,0.023955,0.00061192
-0.066186,0.03517,0.00035158,0.038183,0.02406,0.0014834
-0.066694,0.022848,0.00010519,0.043768,0.024099,0.001416
-0.067593,0.01924,-8.9933e-05,0.045396,0.023745,0.0013923
-0.090592,0.013395,-2.761e-05,0.048003,0.013479,0.0027352
-0.091636,0.012224,-4.0063e-05,0.04853,0.012999,0.0019113
-0.091305,0.01061,-8.0045e-05,0.049202,0.013183,0.002749
-0.09169,0.0085167,2.0003e-05,0.050189,0.012954,0.002347
-0.093881,0.0080271,3.5358e-06,0.050399,0.011971,0.0027591
-0.0905,0.006651,2.5831e-05,0.051011,0.013479,0.0018629
-0.092868,0.0064223,3.0351e-05,0.051108,0.012414,0.002063
-0.091466,0.0065191,9.5311e-05,0.051085,0.013051,0.0029581
