"v:0","v:1","v:2","Points:0","Points:1","Points:2"
-0.081611,0.01085,0.00071353,0.048326,0.013307,0.00054462
-0.080786,0.0083754,0.0019244,0.04909,0.012528,0.00054808
-0.067292,0.0094351,-0.0016061,0.04963,0.013374,0.0015695
-0.074052,0.0094858,0.00059878,0.049987,0.013452,0.00054428
-0.08525,0.0079103,-0.00069688,0.050171,0.012383,0.00059018
-0.080971,0.0027612,-0.0027832,0.051024,0.01306,0.00055716
-0.084604,0.0019086,-0.0025933,0.051171,0.012007,0.00079643
-0.076506,0.0021346,-0.00027412,0.05208,0.013335,0.00054478
-0.085337,0.0023755,0.0010571,0.052219,0.012264,0.00066364
-0.079711,0.00099497,-0.0012999,0.051527,0.013438,0.0014753
-0.071982,0.018024,-9.7585e-05,0.047154,0.014988,0.00054441
-0.059595,0.020845,-0.0024254,0.047417,0.014449,0.001453
-0.0805,0.017651,0.00041862,0.047381,0.013854,0.00054399
-0.063432,0.015355,-0.0045931,0.048384,0.013949,0.0014201
-0.075278,0.011784,-0.004337,0.048172,0.014603,0.00055219
-0.069674,0.011032,-0.0020551,0.049333,0.014467,0.0016229
-0.074696,0.0096799,0.0020071,0.049165,0.01416,0.00059171
-0.074222,0.0045688,-0.0050439,0.050447,0.014093,0.001608
-0.066169,0.0078461,0.0029374,0.050118,0.014994,0.00054686
-0.069073,0.0023722,-0.0029417,0.050816,0.014157,0.00058424
-0.059909,0.010513,-0.00079386,0.050248,0.015167,0.0016253
-0.063241,-0.00021771,-0.00070321,0.051295,0.014819,0.0015441
-0.067465,0.003473,-0.0018608,0.051877,0.014403,0.00054535
-0.05936,-0.0036634,-0.006784,0.052547,0.014774,0.0013199
-0.071905,-0.0013026,-0.0032892,0.052979,0.013936,0.000666
-0.073804,0.010522,0.00053498,0.044529,0.016781,0.00054556
-0.04285,-0.010114,-0.0059657,0.044903,0.015798,0.0011363
-0.074546,0.010027,0.0028775,0.045561,0.016437,0.00054562
-0.072913,0.016414,0.0019181,0.046252,0.015599,0.00054459
-0.068358,0.013691,0.0092995,0.046142,0.016191,0.001537
-0.065258,0.011612,-0.0021354,0.046667,0.015239,0.0014844
-0.069276,0.0022058,0.0017435,0.047218,0.016128,0.00054577
-0.066675,0.01411,0.0067003,0.04738,0.016049,0.0016202
-0.072073,0.0060449,0.0029109,0.048127,0.01564,0.00094527
-0.069944,0.0055199,0.0026993,0.048365,0.016624,0.00054519
-0.058541,0.0091768,-0.0059314,0.049233,0.015706,0.0015134
-0.073341,0.0073745,-0.0016492,0.049056,0.01524,0.00054522
-0.070423,0.0066046,0.00091318,0.049395,0.016273,0.000545
-0.058202,0.014123,-0.0074292,0.050273,0.016361,0.0015734
-0.068632,0.0064683,-0.0028031,0.050461,0.016053,0.00054523
-0.069861,0.0022227,0.0010994,0.051183,0.01524,0.00054574
-0.065941,0.00032657,0.0043508,0.051567,0.016257,0.00055011
-0.055032,-0.0059362,0.015381,0.051977,0.015669,0.0015673
-0.053775,-0.0053886,0.0028624,0.051888,0.016752,0.0014951
-0.066684,-0.00039987,-0.0040545,0.052402,0.015558,0.00054645
-0.0627,-0.0015516,-0.00018986,0.0528,0.016565,0.00067287
-0.084936,0.01587,-0.0062664,0.042067,0.017808,0.0013841
-0.076097,0.012085,-0.0026114,0.042759,0.017854,0.00054545
-0.065195,0.0088847,-0.0018729,0.042965,0.018539,0.001367
-0.075284,0.0048259,0.0036467,0.04347,0.017031,0.00054474
-0.065222,0.013802,0.0016163,0.043406,0.017552,0.0014978
-0.074703,0.00081092,-0.011752,0.043686,0.018433,0.0005568
-0.070651,0.011414,-0.0028344,0.044564,0.017839,0.00080548
-0.067258,0.015393,0.0016592,0.04536,0.016947,0.0014857
-0.06793,0.012177,-0.0038941,0.045382,0.01815,0.0014544
-0.070262,0.0086714,-0.0050109,0.045585,0.017525,0.00058665
-0.070996,0.0045588,-0.0011922,0.046516,0.016961,0.0005457
-0.063152,0.006476,-0.0014769,0.046648,0.01779,0.001241
-0.065939,0.0068172,0.0097905,0.04754,0.017337,0.00057129
-0.062486,0.013137,-0.0013892,0.047697,0.018172,0.0015888
-0.0613,0.01016,0.0035696,0.047985,0.016947,0.0015137
-0.064503,0.0069668,0.00023267,0.04794,0.018366,0.00054531
-0.066463,0.0031023,0.0043614,0.04875,0.017641,0.00055971
-0.054712,0.0014441,0.001926,0.04876,0.017918,0.0016132
-0.062847,0.0073775,0.0041267,0.049063,0.016902,0.0013698
-0.064503,0.0058183,0.0035183,0.04978,0.01729,0.00054793
-0.058125,0.0045474,-0.0036135,0.050159,0.018312,0.0005623
-0.066975,-0.0043579,-0.0010495,0.049888,0.017804,0.0015053
-0.06337,0.0037387,-0.0024787,0.050847,0.017073,0.00054573
-0.054536,-0.0012042,-0.0069482,0.05099,0.017425,0.0015732
-0.056683,-0.0027427,0.0012317,0.05082,0.018496,0.001473
-0.059356,0.002429,-0.0019306,0.051225,0.018093,0.00054624
-0.059322,-0.010239,-0.00063289,0.051967,0.017279,0.0005453
-0.044567,-0.006451,-0.001194,0.051981,0.017898,0.0014415
-0.060147,-0.0010391,0.0020192,0.052252,0.018456,0.00054528
-0.053034,-0.0064082,0.0019948,0.052853,0.017253,0.0015416
-0.064995,0.011387,-0.001638,0.040012,0.019545,0.00054497
-0.0724,0.0086193,0.0040913,0.041031,0.019105,0.0005478
-0.065596,0.005769,-0.010195,0.040936,0.019622,0.0015648
-0.068083,0.00712,-0.011489,0.041016,0.020192,0.00063853
-0.069606,0.01226,-0.0029323,0.042027,0.01866,0.00057915
-0.065355,0.01411,-0.0038585,0.042008,0.019744,0.00068595
-0.071758,0.00057085,-0.0019525,0.04297,0.019253,0.00054516
-0.069978,0.010672,0.0001955,0.04383,0.019213,0.0014661
-0.058675,0.0091494,-0.00030737,0.04413,0.01971,0.00054524
-0.062529,0.006357,-0.0022184,0.045785,0.018594,0.00054531
-0.06955,0.018808,-0.0054715,0.044752,0.018901,0.0009768
-0.052513,0.0077181,0.0074825,0.045454,0.019631,0.00056064
-0.064874,0.013055,-0.0025393,0.044812,0.02009,0.00131
-0.067576,0.0084448,0.00022681,0.045836,0.019781,0.0015765
-0.072859,0.0029226,0.000822,0.046306,0.018794,0.0014926
-0.065391,0.0051295,-0.00069348,0.046875,0.018596,0.00054524
-0.066071,0.0067766,0.0010023,0.046608,0.019614,0.00082794
-0.045666,-0.0047811,0.0085251,0.04753,0.019916,0.001505
-0.06559,0.0082851,0.00031051,0.04764,0.019412,0.00054553
-0.083608,0.0054753,-0.0030457,0.04847,0.018937,0.0013699
-0.064794,0.0062733,-0.002286,0.048702,0.019665,0.00054494
-0.049383,0.00064639,-0.0034615,0.048816,0.019999,0.0015743
-0.066651,0.0065156,0.0024214,0.049126,0.018662,0.00054475
-0.049999,0.00061746,0.001997,0.049617,0.018862,0.0014988
-0.063673,0.0038833,0.0031971,0.049945,0.019379,0.00054732
-0.051681,-0.017551,0.0046543,0.050253,0.01989,0.0014701
-0.055551,-0.0066264,0.0028155,0.0508,0.020058,0.00054492
-0.048469,-0.0079338,0.0016699,0.051257,0.019486,0.0016005
-0.06377,-0.0010534,0.0074863,0.05142,0.019164,0.00056209
-0.045327,-0.0026742,-0.00019085,0.052252,0.019075,0.0014407
-0.05677,-0.0084047,-0.00014211,0.052378,0.019683,0.00054563
-0.041444,-0.0054851,-0.0024372,0.05221,0.020159,0.0015432
-0.07109,0.018479,0.0057781,0.038043,0.021389,0.00056706
-0.058747,0.016617,-0.0040935,0.038381,0.021482,0.0016017
-0.065876,0.018497,0.0028024,0.038945,0.020781,0.00054532
-0.060101,0.013379,0.0008964,0.039201,0.02184,0.00055167
-0.06846,0.0079472,1.0157e-05,0.039523,0.021195,0.0013757
-0.068515,0.0079321,-0.0043019,0.040025,0.020636,0.00055248
-0.06048,0.010182,-0.014404,0.040315,0.021686,0.0005622
-0.058472,0.0060496,-0.01507,0.041265,0.021232,0.00085829
-0.066995,0.0085614,-0.01106,0.040344,0.020532,0.001645
-0.051009,0.01391,-0.00095481,0.042218,0.020804,0.00054827
-0.062059,0.014886,0.0066857,0.042232,0.021486,0.0015528
-0.064256,0.01077,0.0047241,0.042606,0.020464,0.0015132
-0.057317,0.012195,-0.0007025,0.042101,0.021887,0.00054701
-0.055913,0.018091,-0.0057089,0.043685,0.020285,0.0016057
-0.059404,0.0043218,-0.0072449,0.043218,0.020312,0.00058386
-0.057636,0.013361,-0.00059607,0.043109,0.021343,0.00092183
-0.046288,0.000158,-0.00019079,0.044063,0.021319,0.0014892
-0.023372,0.0041521,0.0013115,0.044289,0.020788,0.0005656
-0.054077,0.0023504,0.0011165,0.043998,0.021862,0.00054655
-0.046407,0.010304,0.0036576,0.045662,0.020698,0.00062823
-0.057737,0.0017799,-0.0050795,0.045059,0.021602,0.00054633
-0.053854,-0.010993,-0.014737,0.04524,0.021151,0.0015634
-0.046787,-0.0002118,0.0069185,0.046264,0.020781,0.0015331
-0.04443,0.0077515,-0.00072301,0.046243,0.021621,0.00054536
-0.045565,0.0056527,-0.0071507,0.046749,0.020656,0.00054613
-0.038115,-0.003647,-0.0018149,0.047377,0.021545,0.00054887
-0.041483,-0.0064818,0.0067339,0.047003,0.021578,0.0016062
-0.037993,-0.00067749,0.0092092,0.04791,0.020986,0.0014951
-0.061734,0.0073892,0.0010038,0.047953,0.020456,0.00054514
-0.038922,0.0023577,0.012042,0.048455,0.021517,0.00071648
-0.038623,0.0090457,-0.0011944,0.049531,0.02151,0.00054524
-0.050756,0.0060411,0.0020707,0.049651,0.020427,0.00055036
-0.037518,-0.0026405,-0.0028639,0.049651,0.020791,0.0015858
-0.042976,-0.0030377,0.0036172,0.050555,0.021119,0.00056218
-0.036761,-0.0044959,-0.0018721,0.050735,0.021571,0.0015401
-0.061141,-0.00049802,0.004663,0.051759,0.020578,0.00056225
-0.036409,-0.0085128,-0.0015533,0.051806,0.0214,0.0014379
-0.03842,-0.0028382,-0.00041431,0.05241,0.021557,0.00054554
-0.036993,-0.009181,0.0056897,0.051362,0.021855,0.00055116
-0.038328,-0.0078374,0.002166,0.052838,0.02105,0.0015401
-0.053418,-0.0078329,-0.0018188,0.052989,0.020634,0.00054519
-0.066453,0.026889,0.01378,0.037209,0.022052,0.00079592
-0.051607,0.01464,0.0043892,0.036468,0.022827,0.00055131
-0.069511,0.001199,-0.02538,0.036569,0.022381,0.0016257
-0.037155,0.0041602,0.0087824,0.038274,0.022454,0.00064151
-0.051584,0.0089167,-0.0099893,0.03912,0.022561,0.0013631
-0.054241,0.016321,0.0021356,0.039887,0.022688,0.00056291
-0.061632,0.0058961,0.0059101,0.041059,0.022942,0.0014914
