"x1	x2	x3	x4	x5	f3"
"0,0203	0,1013	1,2658	994,8506	1	0,3329"
"0,025	0,1719	1,5625	994,8506	1	0,47"
"0,0165	0,1134	1,0309	994,8506	1	0,2643"
"0,0233	0,0667	2	1135,9295	1	0,3052"
"0,0117	0,1667	2	1135,9295	0,2679	0,1983"
"0,0058	0,1667	2	1135,9295	1	0,1299"
"0,0039	0,1667	2	1135,9295	1	0,128"
"0,0083	0,1667	1	1135,9295	0,2679	0,165"
"0,0433	0,1667	1	945,0581	1	0,7057"
"0,0108	0,1667	1	945,0581	0,2679	0,2624"
"0,0143	0,1429	1,0714	2223,0664	0,1989	0,5021"
"0,0143	0,1429	1,7857	2223,0664	0,1989	0,5435"
"0,0214	0,1429	0,7143	2223,0664	0,1989	0,6057"
"0,0214	0,1429	1,4286	2223,0664	0,1989	0,642"
"0,0214	0,1429	2,1429	2223,0664	0,1989	0,7782"
"0,0286	0,1429	1,0714	2223,0664	0,1989	0,7337"
"0,0286	0,1429	1,7857	2223,0664	0,1989	0,7906"
"0,0357	0,1429	0,7143	2223,0664	0,1989	0,7714"
"0,0357	0,1429	1,4286	2223,0664	0,1989	0,8839"
"0,0357	0,1429	2,1429	2223,0664	0,1989	1,0038"
"0,0143	0,0357	0,3571	2223,0664	0,1989	0,196"
"0,0143	0,0714	0,3571	2223,0664	0,1989	0,3313"
"0,0286	0,0179	0,3571	2223,0664	0,1989	0,203"
"0,0286	0,0536	0,3571	2223,0664	0,1989	0,3828"
"0,0286	0,1429	0,3571	2223,0664	0,1989	0,7031"
"0,05	0,0357	0,3571	2223,0664	0,1989	0,4222"
"0,05	0,0714	0,3571	2223,0664	0,1989	0,6152"
"0,0113	0,1283	1,2083	1305,6038	0,2679	0,3184"
"0,0113	0,1283	1,2083	1318,0476	0,2679	0,2693"
"0,0113	0,1283	1,2083	1330,7308	0,2679	0,3045"
"0,0113	0,1283	1,2083	1330,7308	0,2679	0,2974"
"0,0113	0,1463	1,2083	1330,7308	0,2679	0,3125"
"0,0113	0,1029	1,2083	1343,6602	0,2679	0,2877"
"0,0113	0,1283	1,2083	1153,1667	0,2679	0,2705"
"0,0113	0,1283	1,5417	1318,0476	0,2679	0,2833"
"0,0096	0,1283	2,2083	994,2381	0,2679	0,238"
"0,0117	0,1283	1,5	899	0,2679	0,2692"
"0,0062	0,0684	0,6667	873,5283	0,2679	0,0777"
"0,006	0,0684	0,6889	1318,0476	0,2679	0,0917"
"0,006	0,0684	0,6444	1318,0476	0,2679	0,0893"
"0,006	0,0684	0,6444	1318,0476	0,2679	0,091"
"0,006	0,0627	0,6444	1318,0476	0,2679	0,0872"
"0,006	0,078	0,6444	1318,0476	0,2679	0,0948"
"0,0038	0,0837	1	845,473	1	0,0663"
"0,0038	0,0837	1,6703	845,473	1	0,0989"
"0,0038	0,1012	1	845,473	1	0,0876"
"0,0038	0,1012	1,6703	845,473	1	0,1044"
"0,0038	0,1116	1	845,473	1	0,0994"
"0,0038	0,1116	1,6703	845,473	1	0,1063"
"0,0038	0,1256	1	845,473	1	0,0994"
"0,0052	0,1012	0,6703	1064,5602	1	0,1157"
"0,0052	0,1116	1	1064,5602	1	0,1421"
"0,0074	0,1256	0,5824	1033,8548	1	0,1955"
"0,0179	0,1667	0,9974	2404,9322	1	0,6605"
"0,0179	0,1253	1,0827	2404,9322	1	0,645"
"0,0319	0,1667	0,689	2420,1864	1	1,2478"
"0,0319	0,25	0,853	2420,1864	1	1,3093"
"0,0131	0,125	3,0066	1451,2822	0,2679	0,2439"
"0,0193	0,125	2,6053	2438,834	0,2679	0,5276"
"0,0141	0,125	3,0066	978,2531	1	0,1637"
"0,0141	0,125	3,0066	978,2531	0,2679	0,1938"
"0,0193	0,125	5,9342	870,3693	0,2679	0,1998"
"0,0193	0,125	3,0066	870,3693	0,2679	0,2072"
"0,0193	0,125	3,0066	870,3693	0,2679	0,2072"
"0,0193	0,125	2,0066	870,3693	0,2679	0,2413"
"0,0193	0,0829	3,0066	870,3693	0,2679	0,2072"
"0,0122	0,1178	3	870,3693	0,2679	0,1647"
"0,01	0,087	3,0993	870,3693	0,2679	0,1235"
"0,023	0,125	4,1776	1028,0456	0,2679	0,2806"
"0,023	0,125	3,0066	1028,0456	0,2679	0,2706"
"0,023	0,125	1	1028,0456	0,2679	0,3418"
"0,0145	0,1178	3	1028,0456	0,2679	0,1992"
"0,012	0,1301	1,5651	1028,0456	0,2679	0,2105"
