"v:0","v:1","v:2","Points:0","Points:1","Points:2"
-0.090885,0.013074,4.1521e-06,0.048142,0.013315,0.0012843
-0.090661,0.010611,2.2869e-06,0.049243,0.013435,0.001623
-0.092918,0.010191,7.7323e-06,0.049425,0.012432,0.0012127
-0.091841,0.0086196,-2.3023e-06,0.050132,0.012919,0.00054548
-0.091974,0.0074639,7.2063e-05,0.05062,0.012843,0.0015849
-0.092531,0.0062767,4.3636e-06,0.051176,0.012609,0.00054553
-0.092891,0.0052461,2.6705e-06,0.051631,0.012439,0.0015213
-0.091285,0.0040868,7.5729e-06,0.052156,0.013167,0.00054526
-0.093712,0.0041517,3.6091e-06,0.052125,0.012078,0.00056159
-0.093298,0.0028304,-3.7697e-06,0.052703,0.012256,0.0014682
-0.087849,0.016353,-3.2236e-06,0.04668,0.014677,0.0015839
-0.08775,0.01562,2.4828e-06,0.047004,0.014732,0.00054529
-0.087594,0.01397,2.1129e-06,0.047742,0.014801,0.0013426
-0.089206,0.013631,3.3811e-06,0.047889,0.014074,0.00054521
-0.090397,0.010821,5.591e-07,0.049154,0.013558,0.00054512
-0.087027,0.012412,3.3104e-06,0.048437,0.015061,0.00054544
-0.088163,0.01047,1.0493e-05,0.049312,0.014554,0.00095293
-0.089399,0.0085638,-3.0997e-07,0.05016,0.014007,0.00054522
-0.086847,0.0081743,5.7773e-06,0.050322,0.015132,0.00163
-0.087015,0.0080617,1.1559e-06,0.050385,0.015072,0.00054523
-0.090101,0.0062093,1.5409e-05,0.051205,0.013698,0.00056759
-0.088501,0.0061569,1.5475e-05,0.051231,0.014384,0.0014136
-0.08774,0.00495,-7.8464e-07,0.051778,0.01474,0.00054422
-0.089327,0.0037308,5.7547e-06,0.052315,0.014037,0.0011808
-0.087676,0.0025124,2.8592e-06,0.052867,0.014783,0.00054592
-0.084173,0.021494,7.0472e-06,0.04438,0.016334,0.00054512
-0.083557,0.01953,7.8434e-06,0.045268,0.016593,0.0016497
-0.08414,0.018869,-9.8489e-06,0.045551,0.016349,0.00054581
-0.085743,0.018683,-3.2588e-06,0.045642,0.015616,0.0013465
-0.08566,0.016879,-8.4041e-06,0.046447,0.015672,0.0005458
-0.085417,0.016348,-1.6526e-05,0.046687,0.015765,0.0016149
-0.083693,0.015724,-1.651e-05,0.046972,0.016551,0.00091613
-0.085642,0.014455,1.1531e-06,0.047536,0.015683,0.00054527
-0.085301,0.013251,-1.4942e-05,0.048071,0.015827,0.0014829
-0.084574,0.012254,-7.2416e-06,0.048517,0.016158,0.00054555
-0.083637,0.011459,-1.1208e-06,0.048869,0.016567,0.0014947
-0.083138,0.010298,-2.1903e-05,0.049394,0.016804,0.00056999
-0.085768,0.010216,2.0556e-06,0.04943,0.015626,0.00080791
-0.084368,0.0091434,-3.9212e-06,0.049906,0.016243,0.0015696
-0.084463,0.0082439,-8.0126e-06,0.050309,0.016213,0.00054544
-0.084785,0.0067517,-1.523e-05,0.050978,0.01606,0.0015297
-0.085599,0.0060821,-5.1947e-06,0.051272,0.015703,0.00054527
-0.083286,0.00537,-1.7095e-05,0.051597,0.016737,0.00064669
-0.085871,0.0034989,-8.2673e-05,0.05224,0.015496,0.001595
-0.085466,0.0036361,-3.2342e-06,0.052359,0.015764,0.00054554
-0.083197,0.0035742,-8.8576e-05,0.052378,0.016778,0.001665
-0.083109,0.0029419,-8.1094e-06,0.052678,0.016815,0.0005453
-0.079995,0.027137,-3.5807e-06,0.041859,0.018204,0.00054558
-0.079679,0.02538,2.8472e-06,0.042644,0.018347,0.0013855
-0.081171,0.02501,1.444e-06,0.04281,0.017675,0.00054536
-0.081281,0.022975,8.058e-06,0.043731,0.017606,0.0015762
-0.082086,0.022758,5.0401e-07,0.043819,0.017266,0.00054538
-0.080009,0.021466,3.9e-06,0.044392,0.018193,0.00054558
-0.079268,0.02098,2.5386e-06,0.044614,0.01851,0.0015642
-0.082094,0.020217,-1.642e-05,0.044952,0.017259,0.00055416
-0.081147,0.019221,1.5032e-05,0.04541,0.017664,0.0015061
-0.080047,0.018851,-7.5605e-07,0.045561,0.018161,0.00054541
-0.08219,0.017417,1.1674e-06,0.0462,0.017225,0.00054592
-0.080436,0.016888,1.4721e-05,0.046451,0.01798,0.0015389
-0.079537,0.016468,4.2243e-06,0.046626,0.018388,0.00054501
-0.081501,0.014957,-7.1679e-07,0.047312,0.017522,0.00056201
-0.079603,0.014595,-3.4115e-06,0.047472,0.018354,0.0015909
-0.079219,0.014067,-8.3858e-06,0.047704,0.018538,0.00054448
-0.082001,0.013276,-1.1036e-05,0.048063,0.017294,0.0015915
-0.082168,0.012599,-1.0136e-05,0.048363,0.017236,0.0005457
-0.079852,0.012141,-1.3715e-05,0.048573,0.018256,0.0016201
-0.079875,0.011713,-3.2473e-06,0.048755,0.018252,0.00054549
-0.081662,0.010021,-4.7372e-06,0.049511,0.017445,0.0014712
-0.079271,0.0094657,-3.0403e-06,0.04976,0.018505,0.0014727
-0.080593,0.0093809,-4.352e-07,0.049798,0.017939,0.00054462
-0.082147,0.0075029,-1.8254e-05,0.050641,0.01725,0.00054549
-0.082492,0.007627,-4.7773e-06,0.050591,0.017087,0.0016367
-0.079847,0.0070901,4.9093e-06,0.050811,0.018247,0.0015894
-0.079968,0.0063428,-1.969e-06,0.051153,0.018211,0.00054973
-0.081587,0.00538,-1.4139e-06,0.051584,0.017487,0.0014354
-0.080973,0.0041304,1.1813e-05,0.052148,0.017767,0.00054589
-0.079204,0.0023765,3.118e-05,0.052917,0.018536,0.00061021
-0.081285,0.0022385,-2.1411e-05,0.052994,0.017614,0.0012148
-0.075498,0.033051,9.4173e-07,0.039214,0.020192,0.0014482
-0.076797,0.030402,1.5776e-06,0.040393,0.019618,0.0012343
-0.078128,0.02868,-1.7568e-05,0.041167,0.019039,0.00065151
-0.079192,0.027753,-7.76e-06,0.041587,0.018564,0.0015379
-0.076421,0.027948,-5.4741e-06,0.041487,0.019791,0.0015857
-0.076024,0.02737,-8.575e-06,0.041751,0.019979,0.00054549
-0.077921,0.02586,1.0509e-06,0.042431,0.01913,0.0005467
-0.077271,0.025687,3.654e-06,0.042506,0.019406,0.0015974
-0.075823,0.024608,-3.2684e-06,0.042989,0.020065,0.00054525
-0.079094,0.023725,4.4826e-06,0.043383,0.018601,0.00054539
-0.075626,0.023696,-2.1361e-05,0.043412,0.020144,0.0015467
-0.078051,0.023412,-8.3559e-07,0.043538,0.019062,0.0015195
-0.076981,0.022455,5.7198e-06,0.043943,0.019534,0.00054572
-0.076757,0.020968,2.3904e-05,0.044618,0.019594,0.0014678
-0.077913,0.020207,-9.2967e-06,0.044953,0.019126,0.00054488
-0.075627,0.019336,-5.1827e-05,0.04534,0.020143,0.00055452
-0.078687,0.018537,-3.6007e-06,0.045703,0.018767,0.0014389
-0.077509,0.017798,-1.7855e-05,0.046028,0.019298,0.00054562
-0.076147,0.017449,-3.0944e-05,0.046197,0.019881,0.0014509
-0.077485,0.015515,2.0564e-05,0.047047,0.019315,0.00093325
-0.077485,0.013387,-7.3905e-06,0.04801,0.0193,0.0015979
-0.077081,0.012884,-3.2759e-05,0.048225,0.019494,0.00054781
-0.075477,0.011999,-6.4156e-06,0.04863,0.020196,0.0015861
-0.077727,0.010552,1.1928e-05,0.049269,0.019205,0.00066069
-0.075423,0.0096945,1.181e-05,0.049646,0.02022,0.00054585
-0.076963,0.0085667,-8.1856e-07,0.050151,0.019521,0.0014245
-0.078417,0.0082195,-4.5298e-06,0.050309,0.018901,0.00054471
-0.07616,0.0071879,-4.5028e-05,0.050765,0.019888,0.00060273
-0.077763,0.0052518,3.0069e-05,0.051626,0.019173,0.00074537
-0.07578,0.0046441,-1.1022e-05,0.051905,0.020058,0.001544
-0.075967,0.003677,-8.6775e-06,0.052333,0.019977,0.00054545
-0.077801,0.0033345,1.7755e-05,0.052494,0.019152,0.001404
-0.072146,0.037994,1.0558e-05,0.037011,0.02169,0.0005464
-0.072611,0.036182,1.213e-05,0.037827,0.021465,0.0014328
-0.071644,0.035202,-9.421e-06,0.038256,0.021928,0.00054523
-0.073547,0.034157,1.4988e-06,0.038729,0.02105,0.00098345
-0.072202,0.032348,-2.2232e-05,0.039524,0.021673,0.00054576
-0.075111,0.029634,-3.2344e-06,0.040741,0.020386,0.00054507
-0.074633,0.032035,-4.1367e-06,0.039671,0.020594,0.00054527
-0.074462,0.030845,-1.7296e-05,0.040198,0.020657,0.001497
-0.072088,0.031501,-2.7785e-06,0.039908,0.021706,0.0015938
-0.072743,0.029839,3.7491e-06,0.040645,0.021429,0.00084237
-0.07492,0.026002,2.4427e-05,0.042367,0.020458,0.001348
-0.073597,0.027651,-1.3675e-05,0.041626,0.021061,0.0005457
-0.072568,0.027434,1.3918e-05,0.041714,0.021504,0.0015371
-0.073449,0.025169,-4.187e-06,0.042738,0.021125,0.00054515
-0.072831,0.024654,-1.6712e-05,0.042971,0.021388,0.0015756
-0.074566,0.022478,-4.7483e-06,0.043925,0.020622,0.00054587
-0.072221,0.022409,-4.6599e-05,0.043938,0.021711,0.00054644
-0.073695,0.02149,6.8531e-06,0.044343,0.020998,0.001479
-0.074846,0.019509,-6.9611e-05,0.045278,0.020451,0.0015977
-0.073423,0.020341,-5.5698e-06,0.044887,0.021134,0.0005453
-0.072683,0.018082,-2.1526e-07,0.045922,0.02146,0.000641
-0.075393,0.014624,-6.0204e-06,0.047444,0.020252,0.00054576
-0.074893,0.01703,-8.3958e-06,0.046378,0.020475,0.00054583
-0.073655,0.017116,-4.2986e-05,0.046338,0.020958,0.0015284
-0.072062,0.015296,-4.7396e-05,0.047142,0.021693,0.001564
-0.073005,0.015215,-1.5772e-05,0.047169,0.021306,0.00054583
