"v:0","v:1","v:2","Points:0","Points:1","Points:2"
-0.094437,0.0038718,-3.4635e-06,0.052251,0.011749,0.00054435
-0.091345,0.012702,-1.9727e-06,0.0483,0.013133,0.00054546
-0.091538,0.011571,0.00011576,0.048785,0.013034,0.0015868
-0.092143,0.010397,5.1908e-07,0.049328,0.012776,0.00054553
-0.092537,0.0093869,1.6251e-05,0.049776,0.012586,0.0015215
-0.090993,0.0081481,2.0216e-06,0.050333,0.01329,0.00054532
-0.093424,0.008335,6.1914e-06,0.050253,0.012203,0.00056167
-0.093054,0.0070023,-1.1842e-05,0.050839,0.012354,0.0014683
-0.092279,0.0059349,-5.0246e-06,0.051334,0.012695,0.00054596
-0.091519,0.0051268,1.5666e-05,0.051678,0.013048,0.0015179
-0.09104,0.0037528,-5.2008e-06,0.052289,0.013264,0.00054536
-0.09331,0.0034514,-2.6217e-06,0.052426,0.012227,0.0015046
-0.086836,0.017847,-7.0592e-06,0.045998,0.015119,0.0013425
-0.089794,0.014832,1.8449e-06,0.047352,0.013815,0.00054511
-0.087569,0.014367,2.2714e-05,0.047554,0.014803,0.00095337
-0.088902,0.012526,-2.6591e-07,0.048377,0.014218,0.00054519
-0.089704,0.010216,1.5152e-05,0.049406,0.013862,0.00056781
-0.088099,0.010081,1.6194e-05,0.049465,0.014547,0.001414
-0.087406,0.0088501,-2.918e-06,0.050027,0.014878,0.00054421
-0.089036,0.0077075,-6.3574e-06,0.050531,0.014151,0.0011808
-0.087417,0.0063714,6.8105e-06,0.051116,0.014872,0.00054585
-0.089819,0.005862,-2.3797e-06,0.051345,0.013807,0.0005456
-0.086968,0.0049005,-4.1555e-06,0.051766,0.01506,0.0014005
-0.089305,0.0041391,2.2255e-05,0.052106,0.01403,0.001298
-0.087405,0.0026003,-3.9198e-05,0.052816,0.014813,0.0015701
-0.088738,0.0025331,-5.5602e-06,0.052839,0.014307,0.0005451
-0.08318,0.02255,-9.2915e-06,0.043878,0.016764,0.00054576
-0.084774,0.020646,2.0604e-05,0.044742,0.016047,0.00054583
-0.084599,0.020136,2.728e-05,0.044987,0.01613,0.0016148
-0.084868,0.018239,-8.8252e-06,0.045831,0.01601,0.00054525
-0.08634,0.016267,-1.1853e-05,0.046703,0.015348,0.00054535
-0.084583,0.017015,-1.087e-05,0.046372,0.01613,0.0014827
-0.083893,0.01598,-5.298e-06,0.046832,0.01644,0.00054548
-0.082963,0.015113,1.2164e-05,0.047203,0.016832,0.0014949
-0.08518,0.013993,1.8206e-06,0.047721,0.015868,0.00080814
-0.086545,0.01192,4.2319e-06,0.048649,0.015272,0.00054529
-0.08379,0.012825,4.62e-06,0.048224,0.016462,0.00157
-0.086345,0.012005,1.2043e-05,0.04859,0.015333,0.0016302
-0.083953,0.011961,5.1181e-06,0.048625,0.016415,0.00054553
-0.084302,0.010477,1.8399e-05,0.049287,0.016233,0.0015299
-0.085207,0.0098655,-3.381e-06,0.049564,0.015862,0.00054521
-0.085515,0.0071838,-9.5301e-05,0.050527,0.015599,0.0015926
-0.085173,0.0074122,3.9921e-06,0.050652,0.015874,0.00054564
-0.084501,0.0055208,1.7698e-05,0.051499,0.016128,0.0016106
-0.084714,0.0050539,-1.5417e-06,0.051722,0.016079,0.00054559
-0.086357,0.0032456,-1.1415e-06,0.052527,0.015349,0.00054521
-0.085077,0.003182,7.6482e-06,0.052551,0.015868,0.0015023
-0.083982,0.0023447,3.9685e-06,0.052908,0.016369,0.00054595
-0.080142,0.026512,1.1194e-05,0.042117,0.0181,0.0015763
-0.080946,0.026353,7.0012e-06,0.042188,0.017757,0.00054535
-0.082559,0.0232,3.2768e-05,0.043607,0.01702,0.00165
-0.081072,0.02382,-3.9173e-05,0.04332,0.0177,0.0005535
-0.080151,0.022766,3.9318e-05,0.043797,0.018083,0.0015066
-0.081302,0.020997,1.473e-05,0.044565,0.017609,0.00054593
-0.082845,0.019387,-1.4584e-05,0.045307,0.016902,0.00091559
-0.079541,0.020395,2.5156e-05,0.044851,0.018353,0.0015392
-0.080706,0.018539,-1.9885e-05,0.04569,0.017857,0.00056159
-0.081232,0.016853,3.1414e-05,0.04643,0.017594,0.0015917
-0.081459,0.016204,3.4991e-06,0.046727,0.017524,0.00054567
-0.079025,0.015553,1.7533e-05,0.046984,0.018532,0.0016204
-0.079204,0.015212,1.8288e-07,0.047164,0.018521,0.00054555
-0.082535,0.013951,-7.5074e-06,0.047737,0.017046,0.00056997
-0.08103,0.013583,1.46e-05,0.047884,0.01768,0.0014714
-0.080025,0.012908,6.643e-06,0.048192,0.018162,0.00054471
-0.08205,0.011302,5.182e-06,0.048945,0.017276,0.0016369
-0.081664,0.011107,-8.1803e-06,0.049003,0.017436,0.00054534
-0.079367,0.010584,2.2519e-05,0.049219,0.018423,0.0015898
-0.079562,0.0098655,-7.9904e-05,0.049557,0.018373,0.0005488
-0.082919,0.0090267,2.3335e-06,0.049935,0.016881,0.00064664
