Y
0.383
0.369
0.254
0.351
0.35
0.375
0.277
0.222
0.243
0.296
0.307
0.363
0.15
0.2
0.226
0.307
0.122
0.116
0.119
0.237
0.221
0.13
0.151
0.19
0.221
0.329
0.12
0.334
0.068
0.127
0.281
0.3
0.052
0.097
0
0.063
