"v:0","v:1","v:2","Points:0","Points:1","Points:2"
-0.075517,0.01915,1.5902e-06,0.045426,0.020206,0.00054577
-0.077957,0.018999,-6.8288e-06,0.045493,0.019119,0.00054564
-0.077673,0.017499,-2.0723e-05,0.046163,0.01921,0.0014672
-0.078764,0.016707,-2.1615e-05,0.04652,0.018756,0.00054495
-0.075668,0.016102,-1.0577e-05,0.046783,0.020095,0.0015982
-0.076378,0.015938,-2.5095e-05,0.046861,0.019791,0.0005549
-0.078268,0.014319,1.2996e-05,0.047587,0.018977,0.00054554
-0.076934,0.013993,4.3854e-05,0.047729,0.019567,0.0014504
-0.075527,0.01363,1.348e-06,0.047882,0.020169,0.00054587
-0.078158,0.012049,5.8471e-05,0.048603,0.01904,0.00093238
-0.075959,0.011227,2.6901e-05,0.048957,0.019994,0.0005458
-0.078026,0.0098922,-1.1081e-05,0.049566,0.019068,0.0015981
-0.077604,0.0094324,3.9255e-06,0.049772,0.019272,0.00054802
-0.075964,0.0086078,5.2544e-06,0.050145,0.01999,0.001586
-0.078179,0.0070272,-3.2059e-05,0.050828,0.019029,0.00066052
-0.075878,0.0063207,-6.5498e-06,0.051159,0.02006,0.00054583
-0.077501,0.0051457,-0.00012865,0.051694,0.019384,0.0014243
-0.078811,0.0047214,-4.0797e-05,0.051881,0.018772,0.00054481
-0.076706,0.0037862,-0.00018544,0.052292,0.019779,0.00060315
-0.072483,0.036807,4.8671e-06,0.037566,0.021554,0.00067977
-0.073807,0.034793,6.6697e-06,0.038471,0.020963,0.00054598
-0.074192,0.032992,2.4216e-05,0.039296,0.020774,0.0014321
-0.071999,0.033042,8.2272e-05,0.039287,0.021855,0.0015611
-0.075047,0.030859,1.4137e-05,0.040215,0.0204,0.00098321
-0.073178,0.032007,-1.0016e-05,0.039704,0.021257,0.00054516
-0.07251,0.030492,-3.4632e-05,0.040403,0.021547,0.0013285
-0.073615,0.029156,-8.2069e-06,0.040982,0.021058,0.00054577
-0.073463,0.028318,-5.9789e-05,0.041365,0.021109,0.001594
-0.073975,0.026613,-1.8867e-05,0.042113,0.020864,0.00084221
-0.071771,0.025702,-1.8678e-05,0.042508,0.021834,0.00054551
-0.074729,0.024358,-8.5565e-06,0.04311,0.020541,0.00054577
-0.073641,0.02419,4.8015e-06,0.043176,0.020988,0.0015369
-0.072507,0.023354,2.217e-06,0.043568,0.021529,0.00054552
-0.074504,0.021903,-8.2155e-06,0.044218,0.020655,0.00054512
-0.073824,0.02141,-1.9335e-05,0.044437,0.020928,0.0015758
-0.073092,0.019218,2.7496e-05,0.045388,0.021294,0.00054612
-0.072271,0.019211,6.7184e-05,0.045385,0.021591,0.0015947
-0.074545,0.018218,1.0257e-05,0.045826,0.020601,0.0014788
-0.074242,0.017046,-1.8855e-05,0.046364,0.020761,0.00054538
-0.071887,0.01703,-4.4444e-05,0.046366,0.02185,0.00054621
-0.073356,0.014782,1.6514e-05,0.047383,0.021133,0.00064131
-0.071724,0.014292,0.00011632,0.047603,0.021866,0.0014173
-0.074455,0.013807,5.94e-05,0.04782,0.02065,0.0015292
-0.072739,0.012094,5.6839e-05,0.048591,0.021419,0.0015641
-0.07364,0.011965,3.6334e-05,0.048636,0.021035,0.00054562
-0.07444,0.010414,1.639e-05,0.049342,0.020672,0.0013072
-0.072032,0.010335,3.043e-05,0.049384,0.021747,0.00089259
-0.075294,0.0087325,1.5293e-05,0.050098,0.020311,0.00054573
-0.0729,0.0081838,2.4621e-06,0.050346,0.021372,0.00054578
-0.073912,0.0065448,9.9808e-06,0.051075,0.020916,0.0012149
-0.072008,0.0058873,-1.0315e-05,0.051364,0.02176,0.00058849
-0.074137,0.0045617,1.1155e-06,0.051929,0.02083,0.00054501
-0.072793,0.0042769,-2.0023e-05,0.052068,0.021413,0.0014544
-0.072253,0.0029676,-1.5872e-06,0.052632,0.021663,0.00054602
-0.074619,0.0020748,8.6434e-05,0.052996,0.020609,0.00055688
-0.068599,0.041826,-9.0118e-05,0.035278,0.023275,0.0014017
-0.069993,0.040896,-2.3692e-06,0.035711,0.022685,0.00054564
-0.070308,0.040227,-0.00014917,0.036022,0.02251,0.0016173
-0.071284,0.038865,-3.353e-05,0.036629,0.022103,0.0006046
-0.069107,0.037938,-2.4068e-05,0.037048,0.023092,0.00078984
-0.070268,0.035946,-1.3707e-05,0.03797,0.022567,0.00054552
-0.068541,0.035887,1.508e-05,0.038,0.023218,0.0015311
-0.071564,0.033923,1.5612e-06,0.038882,0.021971,0.00055581
-0.071084,0.035353,-4.3359e-05,0.038229,0.022153,0.0015202
-0.069306,0.033911,4.568e-05,0.038898,0.022989,0.00094289
-0.070938,0.031048,-8.7687e-07,0.040138,0.022256,0.00054576
-0.069993,0.031773,1.2393e-06,0.03988,0.022766,0.0014868
-0.068552,0.031663,-2.2544e-05,0.039877,0.023315,0.00054561
