"v:0","v:1","v:2","Points:0","Points:1","Points:2"
-0.25322,-0.23531,-0.019743,0.049522,0.013358,0.001047
0.0084082,-0.50249,0.047554,0.050526,0.011857,0.0012516
0.43074,-0.63809,0.087315,0.050304,0.014316,0.0008845
-0.198,-0.1667,-0.18686,0.049054,0.015536,0.00074824
-0.097756,0.082039,-0.079872,0.049711,0.016446,0.00080173
-0.2141,-0.16554,0.073154,0.049038,0.017891,0.00073078
-0.33804,0.069548,-0.042623,0.049853,0.017163,0.0016086
-0.2671,-0.11065,0.19848,0.052558,0.018315,0.0013119
0.52858,-0.1578,-0.10025,0.03656,0.022073,0.0016103
0.12957,-1.0502,0.02463,0.040228,0.029919,0.00071612
0.20164,-1.0593,-0.00094324,0.048048,0.029781,0.0014572
0.18855,-0.63775,-0.010579,0.023111,0.033992,0.0012854
0.14097,-0.60674,-0.013586,0.019337,0.036919,0.00090969
0.14369,-0.59868,0.026164,0.021363,0.035731,0.0012022
0.18707,-0.79911,0.034662,0.03177,0.036766,0.0014666
0.073664,0.0026705,-0.033503,0.014884,0.039002,0.00096463
0.080758,-0.0175,-0.01471,0.013585,0.041575,0.00091015
0.10886,-0.45048,0.0055067,0.016799,0.043069,0.00091336
0.15146,-0.4759,0.0054532,0.018963,0.043079,0.00065283
0.14676,-0.50557,-0.0084352,0.019813,0.042275,0.0012422
0.21384,-0.48778,-0.029321,0.023196,0.043636,0.001114
0.171,-0.76435,0.010043,0.029765,0.043387,0.0012656
-0.29578,-0.30047,-0.078526,0.04787,0.043014,0.00064525
0.12316,-0.4164,0.016794,0.017289,0.045463,0.00061408
0.20665,-0.93145,-0.067633,0.047169,0.0446,0.0015575
0.11249,-0.33676,-0.036061,0.015912,0.048733,0.00062266
0.22158,-0.3942,0.0045349,0.020097,0.048863,0.001449
0.1214,-0.30006,-0.010966,0.015859,0.050542,0.00055901
0.15696,-0.35008,-0.018639,0.017767,0.049513,0.0005743
0.13745,-0.35681,0.0025224,0.016853,0.049595,0.0012281
0.2164,-0.35815,0.0063163,0.018721,0.050187,0.0013205
0.12534,-0.67862,0.0031613,0.024875,0.049644,0.00068528
0.15424,-0.88975,-0.003015,0.041537,0.049055,0.0014501
0.059334,-0.25965,-0.02931,0.013197,0.051353,0.0014293
0.12382,-0.2932,0.020635,0.015654,0.05159,0.00080299
0.16447,-0.35371,0.016455,0.017613,0.051094,0.00071076
0.20953,-0.32658,0.0070596,0.017825,0.052219,0.001374
0.072937,-0.63601,0.0013265,0.020591,0.050793,0.00063882
0.07014,-0.19221,0.01842,0.013711,0.052816,0.00074377
0.088582,-0.83791,-0.013267,0.035588,0.05297,0.00075408
0.075043,0.047796,-0.031312,0.051875,0.013562,0.0031251
0.06274,-0.70629,0.23853,0.045315,0.015842,0.0032806
0.51056,-0.8413,-0.16782,0.046698,0.016191,0.002145
0.05641,-0.69721,0.39047,0.048301,0.021449,0.0020454
-0.3222,-0.16707,0.31929,0.052111,0.021691,0.0020087
0.15358,-1.0932,-0.0069172,0.042799,0.025848,0.0021099
0.16588,-1.1022,0.018277,0.04529,0.025593,0.002626
0.16779,-0.9476,0.019005,0.031144,0.027098,0.0026764
0.12051,-0.87387,-0.00424,0.025597,0.031138,0.0026146
0.15473,-0.56791,-0.02745,0.021402,0.035346,0.0022753
0.21138,-0.5901,-0.019167,0.025052,0.034507,0.0018269
0.20963,-1.0262,0.033243,0.048467,0.034656,0.0023907
0.20433,-0.22092,-0.021802,0.018575,0.035601,0.0026361
0.33812,-0.31825,-0.088249,0.018402,0.036688,0.0024067
0.1601,-0.84411,-0.011731,0.028253,0.035588,0.0028102
0.10002,0.018017,0.024457,0.014902,0.038726,0.0020471
0.19251,-0.33271,-0.14406,0.016106,0.03822,0.0024232
0.12812,-0.19396,-0.14421,0.017506,0.03754,0.0030058
0.11794,-0.82525,0.0069578,0.024389,0.037397,0.0023029
0.15843,-0.83688,-0.0069062,0.027782,0.037367,0.0030184
0.01749,-0.10166,-0.10243,0.015079,0.039044,0.0032855
